datetime,open,high,low,close,volume,status
2017-10-27 22:00:00,5748.05,5759.0,5746.98,5754.86,15.613444,
2017-10-27 23:00:00,5754.87,5789.45,5722.34,5768.83,58.48542599999988,
2017-10-28 00:00:00,5768.79,5839.96,5768.79,5822.32,44.43698899999994,
2017-10-28 01:00:00,5822.29,5850.02,5780.4,5819.91,27.89616099999998,
2017-10-28 02:00:00,5819.68,5819.72,5748.51,5748.52,69.70260600000005,
2017-10-28 03:00:00,5748.54,5772.01,5726.87,5726.92,54.47417599999999,
2017-10-28 04:00:00,5726.93,5770.73,5726.91,5739.95,27.752988999999985,
2017-10-28 05:00:00,5739.95,5799.96,5730.01,5789.55,49.170184,
2017-10-28 06:00:00,5777.0,5799.63,5760.01,5779.98,21.507067000000003,
2017-10-28 07:00:00,5779.98,5790.09,5762.03,5781.01,43.499858999999965,
2017-10-28 08:00:00,5781.02,5790.1,5763.2,5771.97,44.31613199999995,
2017-10-28 09:00:00,5771.96,5790.09,5742.0,5767.94,47.57388299999994,
2017-10-28 10:00:00,5767.87,5767.87,5734.04,5734.04,33.09510600000002,
2017-10-28 11:00:00,5741.98,5741.98,5677.02,5680.28,72.71147599999996,
2017-10-28 12:00:00,5680.27,5718.16,5630.03,5689.99,52.56743899999999,
2017-10-28 13:00:00,5671.03,5713.42,5669.96,5712.97,59.97436200000003,
2017-10-28 14:00:00,5712.98,5718.01,5662.99,5669.98,127.91410799999996,
2017-10-28 15:00:00,5669.98,5669.98,5650.0,5669.97,48.64514099999999,
2017-10-28 16:00:00,5669.97,5699.98,5665.01,5694.99,50.909561,
2017-10-28 17:00:00,5680.03,5708.98,5680.01,5700.37,67.11194499999998,
2017-10-28 18:00:00,5700.39,5726.87,5690.03,5725.68,68.13894099999986,
2017-10-28 19:00:00,5725.69,5733.03,5698.2,5726.02,67.90118799999976,
2017-10-28 20:00:00,5726.02,5733.03,5690.03,5707.69,22.579777,
2017-10-28 21:00:00,5707.6,5729.0,5690.04,5701.17,80.783108,
2017-10-28 22:00:00,5701.55,5728.97,5680.01,5724.91,50.573406999999975,
