datetime,price,size,type
2020-11-17 18:00:00,478.39,1,BUY
2020-11-27 09:00:00,504.03,1,SELL
2020-11-30 14:00:00,603.58,1,BUY
2020-12-08 00:00:00,591.26,1,SELL
2020-12-14 04:00:00,585.22,1,BUY
2020-12-22 12:00:00,612.01,1,SELL
2020-12-27 01:00:00,640.38,1,BUY
2021-01-12 08:00:00,1114.79,1,SELL
2021-01-15 16:00:00,1165.92,1,BUY
2021-01-22 11:00:00,1197.7,1,SELL
2021-01-24 16:00:00,1329.84,1,BUY
2021-01-28 07:00:00,1286.85,1,SELL
2021-01-28 13:00:00,1343.3,1,BUY
2021-02-01 15:00:00,1301.7,1,SELL
2021-02-02 10:00:00,1440.0,1,BUY
2021-02-16 23:00:00,1781.16,1,SELL
2021-02-17 10:00:00,1807.95,1,BUY
2021-02-23 02:00:00,1667.89,1,SELL
2021-03-03 06:00:00,1562.72,1,BUY
2021-03-16 13:00:00,1784.75,1,SELL
2021-03-20 20:00:00,1827.05,1,BUY
2021-03-21 11:00:00,1772.48,1,SELL
2021-03-28 23:00:00,1686.5,1,BUY
2021-04-08 21:00:00,2051.4,1,SELL
2021-04-10 04:00:00,2190.86,1,BUY
2021-04-19 03:00:00,2271.05,1,SELL
2021-04-22 09:00:00,2494.64,1,BUY
2021-04-24 17:00:00,2252.12,1,SELL
2021-04-26 06:00:00,2476.48,1,BUY
2021-05-16 04:00:00,3796.99,1,SELL
2021-05-26 11:00:00,2838.99,1,BUY
2021-05-29 23:00:00,2279.59,1,SELL
2021-06-02 04:00:00,2624.39,1,BUY
2021-06-08 12:00:00,2503.63,1,SELL
2021-06-15 09:00:00,2591.01,1,BUY
2021-06-17 14:00:00,2399.37,1,SELL
2021-06-28 23:00:00,2082.46,1,BUY
2021-07-09 10:00:00,2096.69,1,SELL
2021-07-22 14:00:00,1998.15,1,BUY
2021-08-18 03:00:00,3051.37,1,SELL
2021-08-21 08:00:00,3289.21,1,BUY
2021-08-26 09:00:00,3085.14,1,SELL
2021-08-29 09:00:00,3205.03,1,BUY
2021-08-30 06:00:00,3171.14,1,SELL
2021-08-30 22:00:00,3284.57,1,BUY
2021-08-30 23:00:00,3226.49,1,SELL
2021-08-31 08:00:00,3346.68,1,BUY
2021-09-08 07:00:00,3257.81,1,SELL
2021-09-15 20:00:00,3555.0,1,BUY
2021-09-20 02:00:00,3205.79,1,SELL
2021-09-28 03:00:00,2949.09,1,BUY
2021-09-29 00:00:00,2844.63,1,SELL
2021-10-01 12:00:00,3222.5,1,BUY
2021-10-12 12:00:00,3417.86,1,SELL
2021-10-14 16:00:00,3785.23,1,BUY
2021-10-28 13:00:00,4193.88,1,SELL
2021-10-29 03:00:00,4380.12,1,BUY
2021-11-14 00:00:00,4680.09,1,SELL
2021-11-24 23:00:00,4270.67,1,BUY
2021-11-27 11:00:00,4117.39,1,SELL
2021-11-30 01:00:00,4464.42,1,BUY
2021-12-04 13:00:00,3973.12,1,SELL
2021-12-08 23:00:00,4442.56,1,BUY
2021-12-10 08:00:00,4075.44,1,SELL
2021-12-17 20:00:00,3845.53,1,BUY
2021-12-17 23:00:00,3877.3,1,SELL
2021-12-20 01:00:00,3936.85,1,BUY
2021-12-20 14:00:00,3842.8,1,SELL
2021-12-21 06:00:00,4015.39,1,BUY
2021-12-28 18:00:00,3799.3,1,SELL
2022-01-04 20:00:00,3819.07,1,BUY
2022-01-06 04:00:00,3453.93,1,SELL
2022-01-13 11:00:00,3335.48,1,BUY
2022-01-18 13:00:00,3138.19,1,SELL
2022-01-29 16:00:00,2557.61,1,BUY
2022-02-12 11:00:00,2934.14,1,SELL
2022-02-16 11:00:00,3138.29,1,BUY
2022-02-18 13:00:00,2900.6,1,SELL
2022-02-26 14:00:00,2784.87,1,BUY
2022-03-05 00:00:00,2595.0,1,SELL
2022-03-16 18:00:00,2678.59,1,BUY
