date,open,high,low,close,Volume USD
1647388800,2619.59,2630.45,2605.78,2612.09,511981.95890377
1647385200,2624.27,2632.16,2613.63,2619.62,388877.615991981
1647381600,2633.6,2643.3,2618.91,2623.75,243716.447825325
1647378000,2625.98,2635.84,2607.13,2633.3,2364799.19316041
1647374400,2660.18,2670.41,2623.25,2626.32,2895859.65675496
1647370800,2630.63,2662.03,2630.63,2659.7,11307645.6912181
1647367200,2602.03,2639,2592.9,2629.6,2089519.93348888
1647363600,2604.46,2608.72,2582.11,2602.03,1179518.35432606
1647360000,2573.39,2620.83,2568.66,2604.5,4345820.4894288
1647356400,2559.94,2592.91,2556.51,2573.03,1706370.0880498
1647352800,2537.33,2569.5,2533.64,2559.22,867525.990889787
1647349200,2551.19,2551.19,2522.9,2534.89,594866.295540459
1647345600,2535.34,2550.82,2532.17,2550.69,485170.965450222
1647342000,2537.29,2545.53,2530.83,2536.27,248471.354497439
1647338400,2528.62,2538.52,2527.52,2536.82,668508.918791686
1647334800,2519.25,2535.8,2511.61,2529.87,481587.598242206
1647331200,2533.43,2535.3,2516.36,2519.24,812472.439830614
1647327600,2544.02,2544.02,2512,2532.52,1370910.04660756
1647324000,2550.03,2564.06,2544.51,2545.27,381686.934872652
1647320400,2546.56,2553.57,2542.56,2551.28,272052.282932654
1647316800,2543.74,2553.62,2539.61,2546.93,1076597.67382144
1647313200,2563.68,2565.48,2538.92,2545.76,255990.225075738
1647309600,2543.08,2572.16,2542.76,2563.42,535454.892312897
1647306000,2589.77,2589.93,2531.68,2546.39,1378230.56636105
1647302400,2591.15,2602.36,2577.77,2589.17,1364322.04572191
1647298800,2571.92,2597.06,2571.92,2590.89,1068323.32841044
1647295200,2542.01,2592.01,2539.09,2570.95,889998.662912742
1647291600,2527.62,2542.91,2522.6,2542.01,524468.197321251
1647288000,2535.89,2545.51,2523.53,2526.12,535688.972945813
1647284400,2530.18,2538.12,2522.98,2534.91,858224.857229145
1647280800,2535.9,2541.44,2514.29,2531.4,1521214.79185069
1647277200,2558.8,2560.16,2533.59,2537.38,966176.027562185
1647273600,2572.59,2581.71,2560.1,2560.1,724533.448169512
1647270000,2590.24,2592.59,2567.06,2572.88,724805.083486123
1647266400,2578.9,2593.53,2571.56,2587.22,1457655.09298293
1647262800,2572.38,2581.36,2556.5,2578.99,1365662.96846813
1647259200,2578.51,2583.73,2566.79,2572.66,366215.88970904
1647255600,2592.83,2594.77,2576.81,2579.69,249222.796632291
1647252000,2597.48,2598.87,2584.05,2594.21,458962.433573013
1647248400,2594,2609.41,2587.21,2597.34,514055.481068227
1647244800,2587.63,2604.2,2583.46,2594,537045.15362704
1647241200,2575.71,2593.86,2574.13,2587.93,397280.140809923
1647237600,2567.4,2582.37,2567.4,2576.64,358394.871659827
1647234000,2571.16,2582.61,2565.87,2568.12,357507.659100122
1647230400,2535.12,2602.62,2533.98,2571.61,882011.807131209
1647226800,2524.95,2538.41,2520.43,2536.13,155252.447823066
1647223200,2530.12,2534.63,2524.67,2526.02,213957.765883456
1647219600,2520.17,2544.1,2519.03,2530.12,319457.890803878
1647216000,2517.1,2524.38,2499.8,2519.26,480048.774610801
1647212400,2502.59,2524.47,2493,2516.85,756226.278917739
1647208800,2561.36,2573.62,2497.03,2506.39,1778970.67306376
1647205200,2545.07,2563.28,2543,2561.36,184652.509711612
1647201600,2561.99,2562.42,2544.59,2546.59,372735.246457453
1647198000,2583.48,2585.23,2562.34,2562.95,163551.172174871
1647194400,2579.25,2584.93,2577.06,2581.93,419777.241081827
1647190800,2585.07,2586.59,2576.89,2579.01,638356.347125473
1647187200,2576.75,2586.78,2569.86,2584.22,232942.871332694
1647183600,2567.68,2588.03,2567.68,2580.84,546335.970206573
1647180000,2561.31,2572.75,2559.85,2568.41,229488.422106693
1647176400,2540.36,2571.5,2537.72,2561.62,589800.497403642
1647172800,2574.52,2575.53,2533.25,2543.22,961984.884105716
1647169200,2589.81,2595.6,2566.27,2574.52,372166.601008805
1647165600,2579.83,2589.89,2579.83,2589.82,197834.71331864
1647162000,2581.14,2581.49,2570.92,2581.34,323488.358969688
1647158400,2581.56,2584.83,2576.35,2581.59,362741.47193397
1647154800,2588.67,2591.06,2580.17,2580.17,361458.760033243
1647151200,2584.52,2589.91,2580.14,2589.91,82658.2553820985
1647147600,2587.21,2590.69,2583.99,2583.99,93283.7913586584
1647144000,2593,2596.23,2585.7,2587.18,134941.606137844
1647140400,2592.21,2596.55,2589,2592.25,202343.107225515
1647136800,2586.62,2602.59,2586.45,2592.21,318809.598409016
1647133200,2572.65,2597.33,2571.29,2587.82,376920.577312115
1647129600,2567.76,2575.68,2557.37,2572.56,374866.091775367
1647126000,2588.8,2592.93,2563.58,2569.16,338461.00159223
1647122400,2587.66,2593.66,2585.7,2588.83,176098.797043424
1647118800,2589.39,2593.79,2584.57,2587.19,104477.372171391
1647115200,2579.18,2593.64,2575.85,2588.12,423871.184793692
1647111600,2581.79,2584.41,2576.32,2579.18,203773.440720277
1647108000,2590.57,2590.8,2579.05,2583.83,100472.181206541
1647104400,2596.39,2614.7,2588.67,2590.57,796688.760581376
1647100800,2585.69,2597.26,2582.87,2596.39,268112.278572883
1647097200,2573.58,2591.53,2569.15,2587.67,211708.276830022
1647093600,2584.69,2587.34,2565.52,2573.08,310223.154943296
1647090000,2590.71,2595.7,2583.83,2584.54,224096.781439077
1647086400,2581.62,2591.57,2575.59,2590.14,81356.4908057538
1647082800,2588.38,2588.55,2575.35,2578.32,160223.987690122
1647079200,2589.6,2592.29,2582.76,2588.38,173777.706452772
1647075600,2580.28,2592.28,2579.8,2589.68,189186.9423882
1647072000,2589.48,2591.94,2574.41,2581.8,207398.245045602
1647068400,2586.96,2592.54,2581.52,2589.48,199523.562097226
1647064800,2592.74,2600,2584.18,2586.78,147062.908920463
1647061200,2584.26,2594.04,2578.45,2590.58,117533.620853512
1647057600,2583.59,2591.81,2568.73,2585.19,233161.241592616
1647054000,2580.12,2595.49,2580.1,2584.74,193292.320849259
1647050400,2590.36,2597.16,2575.24,2581.31,336286.885930644
1647046800,2581.44,2594.6,2577.65,2588.99,290050.109840814
1647043200,2556.45,2583.71,2554.38,2581.96,578823.225595027
1647039600,2569.81,2570.81,2555.45,2557.64,534052.043546755
1647036000,2573.85,2580.33,2568.33,2571.53,296697.98834
1647032400,2532.44,2591.74,2532.44,2571.61,3325364.68086541
1647028800,2555.62,2562.53,2527.99,2531.57,1001527.46784179
1647025200,2555.75,2567.18,2553.71,2557.1,1173865.75918803
1647021600,2564.2,2572.91,2557.42,2557.42,369837.796897673
1647018000,2558,2569.83,2546.32,2565.79,613911.706227291
1647014400,2580.34,2580.39,2552,2557.99,793933.206684632
1647010800,2609.93,2609.93,2565.89,2582.45,854810.198316899
1647007200,2623.62,2638.39,2603.93,2610.19,875483.344388405
1647003600,2658.03,2658.03,2610.91,2620.63,1341224.17161432
1647000000,2654.6,2678.28,2644.77,2655.17,1172273.85753139
1646996400,2600.93,2670.41,2580.81,2655.58,3535369.84395971
1646992800,2600.83,2608.84,2598.27,2602.29,278588.657801626
1646989200,2598.75,2610.39,2593.9,2601.09,387926.267844481
1646985600,2610.34,2613.75,2592.24,2601.55,413674.094122331
1646982000,2585.95,2618.59,2585.95,2608.9,760217.420691512
1646978400,2564.09,2592.16,2562.52,2584.45,504959.580680737
1646974800,2540.36,2568.17,2537.49,2567.21,539250.575707531
1646971200,2552.42,2552.94,2536.73,2543.17,332278.075963413
1646967600,2527.52,2555.53,2524.21,2552.83,467662.035482648
1646964000,2563.17,2569.82,2525,2528.43,2568722.02703481
1646960400,2595.72,2595.72,2558.04,2563.43,626836.964294989
1646956800,2607.17,2611.57,2588.08,2592.6,451748.327420634
1646953200,2615.23,2619.08,2605.68,2609.54,364652.415825864
1646949600,2603.29,2615.59,2592.98,2614.99,489462.615828927
